# Explicit deterministic fault/recovery schedules.
# Format: schedule_id|initial_fault|retry1_fail|retry2_fail|reinit_fail|terminal_expected
S01|FAULT_I2C_NACK|0|0|0|NONE
S02|FAULT_I2C_NACK|0|0|0|NONE
S03|FAULT_I2C_NACK|0|0|0|NONE
S04|FAULT_I2C_NACK|0|0|0|NONE
S05|FAULT_I2C_NACK|0|0|0|SUCCESS
S06|FAULT_I2C_TIMEOUT|1|1|0|SUCCESS
S07|FAULT_I2C_PERSISTENT|1|1|1|DEGRADE
S08|FAULT_I2C_PERSISTENT|0|0|0|ESCALATE
S09|FAULT_NONE|0|0|0|NONE
S10|FAULT_I2C_NACK|0|0|0|NONE
S11|FAULT_NONE|0|0|0|NONE
S12|FAULT_AMBIGUOUS|0|0|0|ESCALATE
S13|FAULT_I2C_PERSISTENT|0|0|0|ESCALATE
S14|FAULT_I2C_NACK|1|1|0|SUCCESS
